Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
Arogya MedTech,health care,Early Stage,219000.0,Kolkata,2018,Healthcare
Propshop24,e-commerce,Early Stage,500000.0,Mumbai,2018,E-Commerce & Marketplace
myUpchar,health care,Series A to Series H,5000000.0,New Delhi,2018,Healthcare
MissMalini Entertainment,unknown,Early Stage,1518400.0,Mumbai,2018,Other
Rooter,sports,Early Stage,657000.0,India,2018,Other
ZestMoney,big data,Series A to Series H,13400000.0,Bangalore,2018,Other
alphaics Corporation,cloud computing,Early Stage,0.0,Bengaluru,2018,Other
MyDentistChoice,health care,Early Stage,500000.0,Hyderabad,2018,Healthcare
Sattviko,food processing,Angel and Grants,0.0,New Delhi,2018,Food & Agriculture
Sensibull,trading platform,Early Stage,365000.0,Bangalore,2018,Other
Bombay Shaving Company,consumer goods,Series A to Series H,0.0,New Delhi,2018,Other
MedCords,wellness,Early Stage,385440.0,Pune,2018,Healthcare
University Living,education,Early Stage,0.0,New Delhi,2018,Other
&ME,food and beverage,Early Stage,0.0,Bangalore,2018,Food & Agriculture
Enakshi,fashion,Early Stage,116800.0,Ahmedabad,2018,Other
Ultraviolette Automotive,automotive,Series A to Series H,876.0,Bangalore,2018,Autommotive $ Transportation
Inthree Access,consulting,Series A to Series H,4000000.0,Chennai,2018,Consulting & Services
BUGWORKS Research India,biotechnology,Series A to Series H,9000000.0,Bangalore,2018,Technology
Guardian.in,health care,Early Stage,0.0,Mumbai,2018,Healthcare
PrestLoans,credit,Early Stage,100000.0,New Delhi,2018,Finance $ Banking
Wimoxez,internet,Early Stage,20000.0,Hyderabad,2018,Technology
India Accelerator,communities,Angel and Grants,0.0,Gurgaon,2018,Other
HappyEMI,consumer,Early Stage,1000000.0,Bangalore,2018,Other
Wishup,consumer applications,Early Stage,0.0,Azadpur,2018,Other
Hansel.io,mobile,Series A to Series H,4000000.0,Bangalore,2018,Other
Propelld,education,Early Stage,250000.0,Bengaluru,2018,Other
PivotRoots,advertising,Series A to Series H,0.0,Mumbai,2018,Other
ZiffyHomes,marketplace,Early Stage,120000.0,New Delhi,2018,E-Commerce & Marketplace
Carmesi,health care,Early Stage,496400.0,Gurgaon,2018,Healthcare
OckyPocky,e-learning,Angel and Grants,0.0,Haryana,2018,Other
Racetrack,artificial intelligence,Early Stage,4993200.0,Bangalore,2018,Other
WHR,health care,Early Stage,143145.0,Pune,2018,Healthcare
Asteria Aerospace,aerospace,Early Stage,0.0,Bangalore,2018,Other
FabAlley,e-commerce,Series A to Series H,8760000.0,Noida,2018,E-Commerce & Marketplace
Tranzmeo,artificial intelligence,Early Stage,0.0,Cochin,2018,Other
SBI Life,insurance,Later Stage,742000000.0,Mumbai,2018,Finance $ Banking
Studds Accessories,e-commerce,Later Stage,14600000.0,Faridabad,2018,E-Commerce & Marketplace
Design Cafe,home decor,Series A to Series H,29200000.0,Bengaluru,2018,Other
NoPaperForms Solutions Pvt. Ltd.,edtech,Series A to Series H,3980000.0,New Delhi,2018,Technology
Rays Power Infra,energy,unknown,29200000.0,Jaipur,2018,Other
AuthMetrik,b2b,Angel and Grants,10000.0,Gurgaon,2018,Other
Khidki,artificial intelligence,Early Stage,0.0,Bangalore,2018,Other
LetsTransport,logistics,Series A to Series H,14600000.0,Bangalore,2018,Autommotive $ Transportation
Next Digital Solutions,digital marketing,Angel and Grants,1460.0,Kota,2018,E-Commerce & Marketplace
Portea Medical,health care,Later Stage,3650000.0,Bangalore,2018,Healthcare
Aavas Financiers,finance,Later Stage,29200000.0,Jaipur,2018,Finance $ Banking
Swiggy,food delivery,Series A to Series H,1000000000.0,Bangalore,2018,Food & Agriculture
Milkbasket,e-commerce,Series A to Series H,7000000.0,Haryana,2018,E-Commerce & Marketplace
Nutrisattva (Proliva),fitness,Angel and Grants,0.0,Anand,2018,Other
Toppr,edtech,Series A to Series H,35000000.0,Mumbai,2018,Technology
